BathsTotal,BedsTotal,CDOM,LotSizeAreaSQFT,SqFtTotal,ElementarySchoolName,ClosePrice
4.1,5,22,11194.92,4664,Vaughn,830000.0
5.1,5,32,12153.24,4892,Carroll,836500.0
4.0,5,70,12066.12,4788,Vaughn,850000.0
5.1,5,188,10672.2,4542,Vaughn,870000.0
5.0,5,51,11325.6,4870,Spears,925000.0
4.1,5,226,13068.0,5283,Newman,931000.0
4.1,4,39,12153.24,4758,Carroll,950000.0
4.1,4,58,16465.68,4140,Spears,970000.0
4.2,5,166,11717.64,7891,Carroll,1225000.0
4.1,5,16,23565.96,5805,Spears,1485000.0
5.2,5,141,24654.96,7291,Newman,1622500.0
